Title,Date Filed
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Sepúlveda-Villarini_v_Dep't_of_Educ_of_PR.txt,2010-12-10
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Cropp_v_Larimer_Cty.txt,2019-11-13
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Mengistu_v_Hous_Auth_of_LA.txt,2018-07-20
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Hunt_v_Ga_Dep't_of_Cmty_Affairs.txt,2012-09-18
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Williams_v_United_Airlines_Inc.txt,2020-11-27
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Karczewski_v_DCH_Mission_Valley_LLC.txt,2017-07-10
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Hamilton_v_Westchester_Cty.txt,2021-06-30
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Fernandez_v_Frank.txt,2013-12-10
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Gati_v_W_Ky_Univ.txt,2019-01-29
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Disability_Support_Alliance_v_Heartwood_Enters_LLC.txt,2018-03-21
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Brown_v_District_of_Columbia.txt,2019-07-05
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Oliver_v_Ralphs_Grocery_Co.txt,2011-08-17
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Link_v_California.txt,2010-09-07
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Wood_v_Md_DOT.txt,2018-05-07
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Wong_v_Pape_Mach_Inc.txt,2010-03-15
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Lopez_v_Catalina_Channel_Express_Inc.txt,2020-09-09
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Grell_v_DOE.txt,2020-02-04
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Wells_v_Thaler.txt,2012-02-07
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/hip_(Heightened_Independence_&_Progress)_Inc_v_Port_Auth.txt,2012-09-11
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Laufer_v_Looper.txt,2022-01-05
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Martin_v_Halifax_Healthcare_Sys.txt,2015-07-31
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Laguerre_v_Nat'l_Grid_USA.txt,2022-03-11
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Cohen_v_City_of_Culver_City.txt,2014-06-06
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Marks_v_Tennessee.txt,2014-04-04
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Matheis_v_CSL_Plasma_Inc.txt,2019-08-30
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Turner_v_Nat'l_Council_of_State_Bds_of_Nursing_Inc.txt,2014-04-02
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Tomlinson_v_Krauss-Maffei_Corp.txt,2023-02-06
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Providence_Behavioral_Health_v_Grant_Rd_Pub_Util_Dist.txt,2018-08-28
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/EEOC_v_United_Airlines_Inc.txt,2012-03-07
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Cooks_v_Contra_Costa_Cty.txt,2021-11-23
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Norfleet_v_Gaetz.txt,2020-07-13
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Burnett_v_Ocean_Props.txt,2021-02-02
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Steward_v_New_Chrysler.txt,2011-02-04
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Kalani_v_Starbucks_Coffee_Co.txt,2017-06-28
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Peoples_v_Discover_Fin_Servs.txt,2010-07-19
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Feemster_v_Beard.txt,2021-12-17
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Colo_Cross-Disability_Coalition_v_Abercrombie_&_Fitch_Co.txt,2014-08-29
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Kennedy_v_Floridian_Hotel_Inc.txt,2021-05-27
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Brown_v_Stoddard.txt,2019-08-21
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Mlsna_v_Union_Pac_RR_Co.txt,2020-09-14
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Phillips_v_Shelby_Cnty.txt,2022-11-03
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Perdue_v_Sanofi-Aventis_US_LLC.txt,2021-06-08
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Sperry_v_Maes.txt,2014-11-17
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Quality_of_Life_Corp_v_City_of_Margate.txt,2020-02-28
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/ERK_v_State_Dep't_of_Educ.txt,2013-08-28
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/O'Hanlon_v_Uber_Techs.txt,2021-03-17
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Sprague_v_N_Va_Crim_Justice_Training_Acad.txt,2020-02-21
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Patton_v_Jacobs_Eng'g_Grp_Inc.txt,2017-07-17
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Stebbins_v_Legal_Aid_of_Ark.txt,2013-05-21
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Hall_v_Higgins.txt,2023-08-15
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Boyd_v_City_of_Phila.txt,2021-03-30
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Lafata_v_Church_of_Christ_Home_for_the_Aged.txt,2009-05-20
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Tull_v_New_York_City_Hous_Auth.txt,2018-02-14
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Brooklyn_Ctr_for_Independence_of_the_Disabled_v_Metro_Transp_Auth.txt,2021-08-23
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Dayton_Veterans_Residences_Ltd_P'ship_v_Dayton_Metro_Hous_Auth.txt,2021-11-19
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Chin_v_Rutgers.txt,2017-06-22
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Richardson_v_Clarke.txt,2022-11-07
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/EEOC_v_Charter_Commc'ns_LLC.txt,2023-07-28
