"","Term","Frequency","DocFreq"
"1081","00615",1,1
"1082","006151",2,1
"1083","006152",1,1
"1084","00616",1,1
"1085","00617",8,6
"1086","00618",3,2
"1087","0062",5,5
"1088","00620",7,6
"1089","00621",1,1
"1090","00622",5,5
"1091","00623",2,2
"1092","00624",1,1
"1093","00626",7,7
"1094","00628",2,1
"1095","00629",5,2
"1096","0063",2,2
"1097","00630",1,1
"1098","00632",4,3
"1099","00633",3,3
"1100","00634",5,2
"1101","00635",5,2
"1102","00636",3,2
"1103","00637",2,1
"1104","00638",1,1
"1105","0064",1,1
"1106","00641",2,2
"1107","00642",2,2
"1108","00643",3,3
"1109","00646",4,4
"1110","00647",4,4
"1111","00648",3,3
"1112","00649",4,1
"1113","0065",1,1
"1114","00650",4,4
"1115","00651f",1,1
"1116","00652",1,1
"1117","00653",4,4
"1118","00654",1,1
"1119","00655",3,2
"1120","00655c",1,1
"1121","00656",1,1
"1122","00657",2,2
"1123","00658",1,1
"1124","0066",2,2
"1125","00660",1,1
"1126","00661",3,3
"1127","00662",3,3
"1128","00663",4,4
"1129","00664",3,3
"1130","00665",6,3
"1131","00666",3,2
"1132","00667",7,2
"1133","00668",3,3
"1134","00669",7,7
"1135","0067",3,2
"1136","00671",3,3
"1137","00672",1,1
"1138","00673",3,2
"1139","00674",3,1
"1140","00675",5,3
"1141","00676",2,2
"1142","00677",1,1
"1143","00678",4,1
"1144","00679",4,3
"1145","0068",5,3
"1146","00680",5,3
"1147","00681",5,3
"1148","00682",3,2
"1149","00683",2,2
"1150","00684",6,4
"1151","00685",4,2
"1152","00686",2,2
"1153","00689",1,1
"1154","0069",7,4
"1155","00690",8,2
"1156","00691",1,1
"1157","00692",10,4
"1158","00693",8,2
"1159","00695",10,1
"1160","00696",1,1
"1161","00697",1,1
"1162","00698",1,1
"1163","00699",1,1
"1164","007",27,12
"1165","0070",3,2
"1166","00700",3,2
"1167","00700and",1,1
"1168","00701",6,1
"1169","00702",3,3
"1170","00703",5,4
"1171","00704",3,3
"1172","00705",3,3
"1173","00706",1,1
"1174","00708",2,2
"1175","00709",3,3
"1176","0071",2,2
"1177","00710",1,1
"1178","00711",4,2
"1179","00712",8,5
"1180","00713",1,1
"1181","00714",3,3
"1182","00716",4,1
"1183","00717",3,2
"1184","00718",1,1
"1185","00719",3,3
"1186","0071n",2,2
"1187","00720",3,3
"1188","00721",1,1
"1189","00722",6,6
"1190","00723",1,1
"1191","00724",4,4
"1192","00725",3,2
"1193","00726",4,4
"1194","00727",2,2
"1195","00728",2,2
"1196","00729",5,3
"1197","0073",1,1
"1198","00730",3,2
"1199","00731",7,5
"1200","00732",4,4
"1201","00733",3,2
"1202","00734",7,4
"1203","00735",3,3
"1204","00737",2,2
"1205","00738",3,3
"1206","00739",2,2
"1207","0074",7,7
"1208","00740",2,2
"1209","00741",4,4
"1210","00742",2,2
"1211","00743",1,1
"1212","00744",4,4
"1213","00745",2,2
"1214","00746",1,1
"1215","00747",2,2
"1216","00748",5,2
"1217","00749",4,3
"1218","0075",5,5
"1219","00750",2,1
"1220","00751",3,3
"1221","00752",1,1
"1222","00753",1,1
"1223","00754",3,3
"1224","00755",3,2
"1225","00756",2,2
"1226","00757",1,1
"1227","00759",1,1
"1228","0076",1,1
"1229","00760",1,1
"1230","00761",1,1
"1231","00762",1,1
"1232","00763",2,2
"1233","00764",1,1
"1234","00765",4,4
"1235","00766",1,1
"1236","00767",2,2
"1237","00768",2,2
"1238","0077",3,3
"1239","00770",3,3
"1240","00771",3,3
"1241","00773",1,1
"1242","00775",3,3
"1243","00776",2,2
"1244","00777",2,1
"1245","0077783",1,1
"1246","00779",1,1
"1247","0078",2,2
"1248","00781",3,3
"1249","00782",2,2
"1250","00783",2,2
"1251","00784",3,1
"1252","00785",8,5
"1253","00786",1,1
"1254","00787",3,3
"1255","00788",4,4
"1256","00789",1,1
"1257","0079",2,2
"1258","00790",1,1
"1259","00793",3,3
"1260","00797",1,1
"1261","00798",8,8
"1262","00799",1,1
"1263","008",16,13
"1264","0080",4,4
"1265","00800",2,2
"1266","00801",3,3
"1267","00802",1,1
"1268","00803",5,4
"1269","00804",2,2
"1270","00806",2,2
"1271","00807",6,3
"1272","00808",1,1
"1273","00809",1,1
"1274","008094",1,1
"1275","0081",4,4
"1276","00811",3,2
"1277","00811bsj",4,1
"1278","00812",2,1
"1279","00813",2,2
"1280","00814",4,3
"1281","00815",10,9
"1282","00816",1,1
"1283","00817",5,4
"1284","00818",2,2
"1285","00819",3,2
"1286","0082",1,1
"1287","00820",6,2
"1288","00821",1,1
"1289","00822",3,3
"1290","00823",2,1
"1291","00824",3,2
"1292","00825",1,1
"1293","00827",3,2
"1294","00828",7,5
"1295","00829",2,1
"1296","0083",4,3
"1297","00830",2,2
"1298","00831",4,3
"1299","00832",2,1
"1300","00833",1,1
"1301","00834",2,1
"1302","00836",3,3
"1303","00837",3,2
"1304","00838",2,2
"1305","00839",2,1
"1306","0084",2,2
"1307","00840",1,1
"1308","00842",3,3
"1309","00843",2,1
"1310","00845",4,2
"1311","00846",2,1
"1312","00847",2,1
"1313","00848",2,2
"1314","00849",2,1
"1315","0085",2,1
"1316","00850",3,2
"1317","00851",3,2
"1318","00852",3,2
"1319","00853",2,1
"1320","00854",3,2
"1321","00855",1,1
"1322","00856",1,1
"1323","00857",5,4
"1324","00858",1,1
"1325","00859",1,1
"1326","0086",7,3
"1327","00861",1,1
"1328","00862",1,1
"1329","00863",4,3
"1330","00864",1,1
"1331","00865",3,3
"1332","00866",1,1
"1333","00867",1,1
"1334","00868",2,2
"1335","00869",7,7
"1336","00871",2,2
"1337","00872",2,2
"1338","00873",4,4
"1339","00874",1,1
"1340","00875",3,2
"1341","00876",4,3
"1342","00877",1,1
"1343","00878",4,3
"1344","0088",1,1
"1345","00881",5,4
"1346","00882",4,3
"1347","00883",1,1
"1348","00884",2,2
"1349","00885",4,3
