"","all_words","Freq"
"1373","00908",1
"1374","00909",1
"1375","0091",5
"1376","00910",1
"1377","00911",2
"1378","00916",3
"1379","00918",2
"1380","00919",1
"1381","00920",1
"1382","00921",1
"1383","009228",2
"1384","00923",1
"1385","00924",4
"1386","0093",1
"1387","00931",2
"1388","00933",1
"1389","00934",2
"1390","00936",4
"1391","00937",1
"1392","00938",1
"1393","00939",1
"1394","0094",1
"1395","00940",1
"1396","00941",2
"1397","00943",3
"1398","00944",1
"1399","00946",7
"1400","00948",2
"1401","00949",1
"1402","0095",3
"1403","00950",2
"1404","00953",1
"1405","00954",2
"1406","00955",2
"1407","00957",3
"1408","00958",1
"1409","00959",1
"1410","0096",1
"1411","00961",2
"1412","00962",2
"1413","00963",1
"1414","00964",1
"1415","00967",5
"1416","00968",1
"1417","00969",1
"1418","0097",3
"1419","00970",2
"1420","00971",2
"1421","00972",1
"1422","00974",3
"1423","00976",1
"1424","00977",1
"1425","00978",1
"1426","0097n",1
"1427","00980",1
"1428","00982",2
"1429","00983",2
"1430","00985",2
"1431","00986",1
"1432","00988",2
"1433","0099",2
"1434","00992",6
"1435","00993",1
"1436","00995",4
"1437","00997",1
"1438","00998",3
"1439","00999",3
"1440","00a",1
"1441","00a3c",1
"1442","00a3f",1
"1443","00am",31
"1444","00c2",1
"1445","00cv1563orl28dab",1
"1446","00cv2521",2
"1447","00cv6105",1
"1448","00cy3837",1
"1449","00f3b",1
"1450","00f3c",1
"1451","00ms",1
"1452","00p",2
"1453","00pm",38
"1454","00s",1
"1455","01",1053
"1456","010",97
"1457","0100",10
"1458","010004",1
"1459","01001",1
"1460","01002",1
"1461","01004",2
"1462","01005",1
"1463","01007",1
"1464","01008",1
"1465","01009",2
"1466","0101",6
"1467","01010",1
"1468","01013",1
"1469","01016",2
"1470","01018",1
"1471","01018812984",1
"1472","01018835344",1
"1473","01018835382",1
"1474","01018837270",1
"1475","01019",2
"1476","0102",3
"1477","01020",2
"1478","01021",1
"1479","01027",2
"1480","01028",1
"1481","0103",6
"1482","01030",2
"1483","01032",2
"1484","01033",3
"1485","01034",3
"1486","01038",1
"1487","01039",1
"1488","0104",1
"1489","01046",1
"1490","01047",1
"1491","01048",7
"1492","0105",8
"1493","01050",2
"1494","01051",3
"1495","01053",1
"1496","01054",1
"1497","01055",1
"1498","01056",2
"1499","01058",1
"1500","01059",3
"1501","0106",2
"1502","01060",1
"1503","01061",1
"1504","01065",3
"1505","01066",1
"1506","01067",2
"1507","01068",2
"1508","0107",3
"1509","01071",3
"1510","01072",2
"1511","01077",2
"1512","01079",1
"1513","0108",2
"1514","01080",1
"1515","01082",4
"1516","01086",2
"1517","01088",1
"1518","01089",1
"1519","0108o",1
"1520","0109",2
"1521","01090",2
"1522","01091",3
"1523","01092",5
"1524","01094",1
"1525","01095",2
"1526","01097",1
"1527","01098",1
"1528","01099",1
"1529","011",12
"1530","0110",1
"1531","01100",3
"1532","01105",1
"1533","01107",1
"1534","01108",2
"1535","0111",2
"1536","01111",1
"1537","01115",1
"1538","01117",2
"1539","01123",2
"1540","01124",2
"1541","01125",1
"1542","01126",1
"1543","01127",2
"1544","011279c",1
"1545","01128",1
"1546","0113",4
"1547","01132",1
"1548","0114",2
"1549","01141",2
"1550","01143",2
"1551","01144",2
"1552","01145",1
"1553","011452",2
"1554","01146",1
"1555","01147",1
"1556","01148",2
"1557","0115",7
"1558","01150",2
"1559","01153",4
"1560","01154",2
"1561","01157",1
"1562","01158",3
"1563","0115p",1
"1564","0116",1
"1565","01160",1
"1566","01161",1
"1567","01163",1
"1568","01167",2
"1569","01168",1
"1570","0117",2
"1571","011710",1
"1572","01172",2
"1573","01173",1
"1574","01174",2
"1575","01175",2
"1576","01177",2
"1577","01179",2
"1578","01181",1
"1579","01185",5
"1580","01187",2
"1581","0119",5
"1582","011915",1
"1583","01193",4
"1584","01196",1
"1585","01198",3
"1586","01199",2
"1587","011a",1
"1588","011b",1
"1589","011se",1
"1590","012",13
"1591","0120",2
"1592","01201",2
"1593","0120120821",1
"1594","0120180652",1
"1595","01202",3
"1596","01205",9
"1597","01208",5
"1598","01209",1
"1599","012099",2
"1600","01214",1
"1601","01215",2
"1602","01217",4
"1603","01218",1
"1604","0122",3
"1605","01221",1
"1606","01224",3
"1607","01225",1
"1608","01226",3
"1609","01229",2
"1610","0123",4
"1611","01230",1
"1612","01231",1
"1613","01234",1
"1614","01235",1
"1615","012355",1
"1616","01236",8
"1617","01237",1
"1618","01238",1
"1619","01239",2
"1620","0124",4
"1621","01240",2
"1622","01242",1
"1623","01243",1
"1624","01244",1
"1625","01245",1
"1626","01248",2
"1627","0125",3
"1628","01250",1
"1629","01252",1
"1630","01253",1
"1631","01254",1
"1632","01255",1
"1633","01256",2
"1634","01257",1
"1635","01258",8
"1636","01259",2
"1637","0126",2
"1638","01260",1
"1639","01261",3
